cell,violations,latitude,longitude,junction_label,police_station,is_named_junction,label,event_congestion_raw,strategic_raw,junction_raw,c_violation,c_event,c_junction,c_strategic,impact_score,top_violations,peak_hour,peak_hour_label
"12.964,77.579",583,12.964236736878217,77.57896132349914,BTP082 - KR Market Junction,City Market,1,BTP082 - KR Market Junction,0.0,1,0.5659863945578232,0.13197278911564625,0.0,0.5659863945578232,1.0,27.26,Wrong Parking 79% · No Parking 18%,1,01:00–02:00 IST
"12.954,77.544",354,12.95392453347485,77.54365857223164,"BTP095 - Satellite Bus Stand, Mysore Road",Byatarayanapura,1,"BTP095 - Satellite Bus Stand, Mysore Road",10.5,1,0.5400226757369615,0.0800453514739229,0.10606060606060606,0.5400226757369615,1.0,27.05,Wrong Parking 86% · No Parking 5%,1,01:00–02:00 IST
"12.971,77.598",448,12.9713080421875,77.59780876808036,BTP063 - Siddalingaiah Circle,Cubbon Park,1,BTP063 - Siddalingaiah Circle,5.5,1,0.5506802721088435,0.10136054421768707,0.05555555555555555,0.5506802721088435,1.0,26.96,No Parking 87% · Wrong Parking 10%,11,11:00–12:00 IST
"12.975,77.576",1277,12.975338713625685,77.57613988888018,BTP040 - Elite Junction,Upparpet,1,BTP040 - Elite Junction,4.0,0,0.644671201814059,0.2893424036281179,0.04040404040404041,0.644671201814059,0.0,26.92,Wrong Parking 66% · No Parking 31%,9,09:00–10:00 IST
"12.965,77.577",552,12.96467524712067,77.57695340661058,BTP082 - KR Market Junction,City Market,1,BTP082 - KR Market Junction,0.0,1,0.5624716553287982,0.12494331065759637,0.0,0.5624716553287982,1.0,26.87,Wrong Parking 81% · No Parking 15%,9,09:00–10:00 IST
"12.967,77.588",26,12.967124242307692,77.58828179999999,BTP076 - Hudson Circle,Halasuru Gate,1,BTP076 - Hudson Circle,25.5,1,0.5028344671201814,0.005668934240362812,0.25757575757575757,0.5028344671201814,1.0,26.75,Wrong Parking 77% · No Parking 23%,7,07:00–08:00 IST
"12.965,77.584",1213,12.964926944929926,77.58404453948887,"BTP080 - NR Road, SP Road Junction",Halasuru Gate,1,"BTP080 - NR Road, SP Road Junction",6.0,0,0.6374149659863946,0.2748299319727891,0.06060606060606061,0.6374149659863946,0.0,26.63,No Parking 51% · Wrong Parking 42%,10,10:00–11:00 IST
"12.977,77.58",1257,12.976957232935561,77.57998196475737,BTP044 - Sagar Theatre Junction,Upparpet,1,BTP044 - Sagar Theatre Junction,3.5,0,0.6424036281179138,0.28480725623582764,0.03535353535353535,0.6424036281179138,0.0,26.55,Wrong Parking 63% · No Parking 32%,9,09:00–10:00 IST
"13.0,77.55",1327,13.000026266409181,77.54983345235279,BTP027 - Modi Bridge Junction,Malleshwaram,1,BTP027 - Modi Bridge Junction,0.0,0,0.6503401360544218,0.3006802721088435,0.0,0.6503401360544218,0.0,26.54,Wrong Parking 58% · No Parking 40%,8,08:00–09:00 IST
"13.035,77.589",2284,13.035244383675758,77.58900244575557,No Junction,Hebbala,0,"Zone 13.035, 77.589",12.0,0,0.0,0.5176870748299319,0.12121212121212122,0.0,0.0,26.33,No Parking 80% · Wrong Parking 12%,3,03:00–04:00 IST
"12.976,77.588",4,12.976165125,77.588082075,BTP037 - KR Circle,Cubbon Park,1,BTP037 - KR Circle,24.5,1,0.5003401360544217,0.0006802721088435374,0.2474747474747475,0.5003401360544217,1.0,26.22,No Parking 75% · Wrong Parking 25%,5,05:00–06:00 IST
"12.964,77.57",8,12.9639836875,77.5699135125,BTP085 - Briyand Circle,Chamarajpet,1,BTP085 - Briyand Circle,24.0,1,0.5007936507936508,0.0015873015873015873,0.24242424242424243,0.5007936507936508,1.0,26.15,Wrong Parking 50% · Parking In A Main Road 17%,6,06:00–07:00 IST
"13.015,77.584",1,13.0145232,77.5843022,BTP030 - Mekhri Circle,R.T. Nagar,1,BTP030 - Mekhri Circle,24.0,1,0.5,0.0,0.24242424242424243,0.5,1.0,26.06,Wrong Parking 100%,4,04:00–05:00 IST
"12.997,77.548",485,12.997436129072165,77.54792607958764,BTP205 - Modi Hospital Junction,Vijayanagara,1,BTP205 - Modi Hospital Junction,0.0,1,0.554875283446712,0.10975056689342404,0.0,0.554875283446712,1.0,26.04,Wrong Parking 57% · No Parking 34%,10,10:00–11:00 IST
"12.959,77.576",473,12.959322834883721,77.57612775877378,BTP104 - Medical College Circle,City Market,1,BTP104 - Medical College Circle,0.0,1,0.5535147392290249,0.10702947845804989,0.0,0.5535147392290249,1.0,25.89,Wrong Parking 93% · No Parking 3%,13,13:00–14:00 IST
"12.997,77.585",29,12.996688044827586,77.58467995172414,BTP032 - Windsor Circle,High ground,1,BTP032 - Windsor Circle,21.0,1,0.5031746031746032,0.006349206349206349,0.21212121212121213,0.5031746031746032,1.0,25.65,No Parking 54% · Wrong Parking 32%,10,10:00–11:00 IST
"12.993,77.589",444,12.993208756240147,77.58903982340578,BTP032 - Windsor Circle,High ground,1,BTP032 - Windsor Circle,0.0,1,0.5502267573696145,0.10045351473922902,0.0,0.5502267573696145,1.0,25.52,Wrong Parking 65% · No Parking 30%,3,03:00–04:00 IST
"12.969,77.701",43,12.968830041860466,77.70096129534885,No Junction,HAL Old Airport,0,"Zone 12.969, 77.701",99.0,0,0.0,0.009523809523809525,1.0,0.0,0.0,25.43,Parking In A Main Road 39% · Wrong Parking 32%,9,09:00–10:00 IST
"13.011,77.584",41,13.010969541463416,77.58367626097561,BTP030 - Mekhri Circle,Sadashivanagar,1,BTP030 - Mekhri Circle,19.5,1,0.5045351473922902,0.009070294784580499,0.19696969696969696,0.5045351473922902,1.0,25.42,Wrong Parking 51% · No Parking 26%,11,11:00–12:00 IST
"12.959,77.577",432,12.959104362962963,77.57693674004629,BTP104 - Medical College Circle,City Market,1,BTP104 - Medical College Circle,0.0,1,0.5488662131519274,0.09773242630385487,0.0,0.5488662131519274,1.0,25.38,Wrong Parking 91% · No Parking 7%,4,04:00–05:00 IST
"12.974,77.547",426,12.97442710016059,77.54693791240194,BTP069 - MC Circle,Vijayanagara,1,BTP069 - MC Circle,0.0,1,0.5481859410430839,0.0963718820861678,0.0,0.5481859410430839,1.0,25.3,Wrong Parking 63% · No Parking 30%,4,04:00–05:00 IST
"12.961,77.559",16,12.960973525,77.5589987375,BTP091 - Sirsi Circle,Chamarajpet,1,BTP091 - Sirsi Circle,19.5,1,0.5017006802721088,0.003401360544217687,0.19696969696969696,0.5017006802721088,1.0,25.11,No Parking 36% · Parking In A Main Road 32%,8,08:00–09:00 IST
"12.968,77.589",285,12.968013830175439,77.58868074631579,BTP076 - Hudson Circle,Cubbon Park,1,BTP076 - Hudson Circle,6.0,1,0.5321995464852608,0.06439909297052154,0.06060606060606061,0.5321995464852608,1.0,25.06,No Parking 69% · Wrong Parking 30%,4,04:00–05:00 IST
"12.976,77.561",375,12.975717548533334,77.5610019984,BTP074 - Leprosy Hospital Junction,Magadi Road,1,BTP074 - Leprosy Hospital Junction,1.5,1,0.5424036281179139,0.08480725623582766,0.015151515151515152,0.5424036281179139,1.0,25.04,Wrong Parking 63% · No Parking 20%,10,10:00–11:00 IST
"12.976,77.578",1207,12.97605577986744,77.5781520706711,BTP044 - Sagar Theatre Junction,Upparpet,1,BTP044 - Sagar Theatre Junction,0.0,0,0.636734693877551,0.27346938775510204,0.0,0.636734693877551,0.0,25.04,No Parking 74% · Wrong Parking 24%,9,09:00–10:00 IST
"12.974,77.551",1107,12.973672371273713,77.55116188726288,"BTP070 - Cholurpalya Junction, Magadi Road",Magadi Road,1,"BTP070 - Cholurpalya Junction, Magadi Road",4.5,0,0.6253968253968254,0.2507936507936508,0.045454545454545456,0.6253968253968254,0.0,24.93,No Parking 86% · Wrong Parking 9%,11,11:00–12:00 IST
"12.959,77.578",368,12.959039852173913,77.5776929714674,BTP118 - Basappa Circle,City Market,1,BTP118 - Basappa Circle,1.0,1,0.5416099773242631,0.08321995464852608,0.010101010101010102,0.5416099773242631,1.0,24.83,Wrong Parking 75% · No Parking 16%,11,11:00–12:00 IST
"12.906,77.573",18,12.906256803888889,77.57324227388888,"BTP159 - JP Nagar Metro, ORR",J.P. Nagar,1,"BTP159 - JP Nagar Metro, ORR",18.0,1,0.5019274376417233,0.003854875283446712,0.18181818181818182,0.5019274376417233,1.0,24.76,No Parking 82% · Defective Number Plate 9%,7,07:00–08:00 IST
"12.961,77.578",383,12.961132995561357,77.57775002088772,BTP082 - KR Market Junction,City Market,1,BTP082 - KR Market Junction,0.0,1,0.5433106575963719,0.08662131519274377,0.0,0.5433106575963719,1.0,24.76,Wrong Parking 92% · Defective Number Plate 5%,6,06:00–07:00 IST
"12.976,77.576",1174,12.975883411158433,77.5760446068143,BTP040 - Elite Junction,Upparpet,1,BTP040 - Elite Junction,0.0,0,0.6329931972789116,0.26598639455782314,0.0,0.6329931972789116,0.0,24.63,Wrong Parking 61% · No Parking 36%,6,06:00–07:00 IST
"12.978,77.574",1167,12.97803048706084,77.573882588946,BTP045 - Danvanthri Road Junction,Upparpet,1,BTP045 - Danvanthri Road Junction,0.0,0,0.6321995464852608,0.26439909297052155,0.0,0.6321995464852608,0.0,24.54,Wrong Parking 75% · No Parking 15%,5,05:00–06:00 IST
"12.992,77.589",363,12.991884172120619,77.58863672536876,BTP032 - Windsor Circle,High ground,1,BTP032 - Windsor Circle,0.0,1,0.5410430839002267,0.08208616780045351,0.0,0.5410430839002267,1.0,24.51,Wrong Parking 90% · No Parking 6%,4,04:00–05:00 IST
"12.999,77.541",285,12.998812923157896,77.54093707333334,"BTP206 - Shankara Mutt Circle, Vijayanagar",Vijayanagara,1,"BTP206 - Shankara Mutt Circle, Vijayanagar",3.5,1,0.5321995464852608,0.06439909297052154,0.03535353535353535,0.5321995464852608,1.0,24.43,Wrong Parking 89% · No Parking 9%,8,08:00–09:00 IST
"12.917,77.574",129,12.91707061961825,77.57374473450301,"BTP115 - Sahasra Hospital, Jayanagar",Jayanagara,1,"BTP115 - Sahasra Hospital, Jayanagar",11.0,1,0.5145124716553288,0.029024943310657598,0.1111111111111111,0.5145124716553288,1.0,24.37,No Parking 69% · Wrong Parking 27%,3,03:00–04:00 IST
"12.998,77.584",16,12.99773560625,77.58410916875,BTP032 - Windsor Circle,Sheshadripuram,1,BTP032 - Windsor Circle,16.5,1,0.5017006802721088,0.003401360544217687,0.16666666666666666,0.5017006802721088,1.0,24.35,Wrong Parking 31% · No Parking 28%,8,08:00–09:00 IST
"12.976,77.587",2,12.9760695,77.58700275000001,BTP037 - KR Circle,Halasuru Gate,1,BTP037 - KR Circle,17.0,1,0.5001133786848072,0.00022675736961451248,0.1717171717171717,0.5001133786848072,1.0,24.31,Wrong Parking 33% · Defective Number Plate 33%,5,05:00–06:00 IST
"12.961,77.529",342,12.960659741812865,77.52899428011696,BTP017 - Attiguppe Circle,Byatarayanapura,1,BTP017 - Attiguppe Circle,0.0,1,0.5386621315192743,0.07732426303854875,0.0,0.5386621315192743,1.0,24.25,Wrong Parking 88% · No Parking 10%,11,11:00–12:00 IST
"12.982,77.61",1142,12.981856719789842,77.61018913502626,BTP051 - Safina Plaza Junction,Shivajinagar,1,BTP051 - Safina Plaza Junction,0.0,0,0.6293650793650793,0.25873015873015875,0.0,0.6293650793650793,0.0,24.23,Wrong Parking 64% · No Parking 28%,10,10:00–11:00 IST
"12.933,77.691",2375,12.93318689982447,77.69120397138695,No Junction,HAL Old Airport,0,"Zone 12.933, 77.691",0.0,0,0.0,0.5383219954648526,0.0,0.0,0.0,24.22,No Parking 49% · Wrong Parking 31%,4,04:00–05:00 IST
"12.964,77.58",212,12.964247143703275,77.57997136173832,BTP082 - KR Market Junction,Halasuru Gate,1,BTP082 - KR Market Junction,6.0,1,0.523922902494331,0.04784580498866213,0.06060606060606061,0.523922902494331,1.0,24.15,No Parking 52% · Wrong Parking 39%,7,07:00–08:00 IST
"12.967,77.578",334,12.967052307006123,77.57817464704615,BTP082 - KR Market Junction,City Market,1,BTP082 - KR Market Junction,0.0,1,0.5377551020408163,0.07551020408163266,0.0,0.5377551020408163,1.0,24.15,Wrong Parking 83% · No Parking 11%,9,09:00–10:00 IST
"12.963,77.577",331,12.963320024471301,77.57707627371602,BTP082 - KR Market Junction,City Market,1,BTP082 - KR Market Junction,0.0,1,0.5374149659863946,0.07482993197278912,0.0,0.5374149659863946,1.0,24.12,Wrong Parking 74% · Parking In A Main Road 12%,22,22:00–23:00 IST
"12.976,77.56",266,12.975740700391418,77.56011642711519,BTP074 - Leprosy Hospital Junction,Magadi Road,1,BTP074 - Leprosy Hospital Junction,3.0,1,0.530045351473923,0.060090702947845805,0.030303030303030304,0.530045351473923,1.0,24.06,Wrong Parking 67% · No Parking 30%,4,04:00–05:00 IST
"12.974,77.579",1078,12.973678509740258,77.5791028080705,BTP044 - Sagar Theatre Junction,Upparpet,1,BTP044 - Sagar Theatre Junction,2.0,0,0.6221088435374149,0.24421768707482994,0.020202020202020204,0.6221088435374149,0.0,23.94,Wrong Parking 46% · No Parking 44%,9,09:00–10:00 IST
"12.982,77.606",1117,12.98203888522829,77.60631703724262,BTP051 - Safina Plaza Junction,Shivajinagar,1,BTP051 - Safina Plaza Junction,0.0,0,0.6265306122448979,0.2530612244897959,0.0,0.6265306122448979,0.0,23.92,Wrong Parking 60% · No Parking 31%,10,10:00–11:00 IST
"12.982,77.595",9,12.982007633333332,77.59513252222222,BTP036 - Police Thimmaiah Circle (GPO),Cubbon Park,1,BTP036 - Police Thimmaiah Circle (GPO),15.0,1,0.500907029478458,0.0018140589569160999,0.15151515151515152,0.500907029478458,1.0,23.89,No Parking 60% · Wrong Parking 30%,9,09:00–10:00 IST
"12.977,77.589",224,12.976846746428572,77.58908115982142,BTP041 - Gopal Gowda Circle,Cubbon Park,1,BTP041 - Gopal Gowda Circle,4.0,1,0.5252834467120181,0.05056689342403628,0.04040404040404041,0.5252834467120181,1.0,23.79,No Parking 95% · Wrong Parking 2%,2,02:00–03:00 IST
"12.973,77.551",1105,12.973418069773755,77.55100289954751,"BTP070 - Cholurpalya Junction, Magadi Road",Magadi Road,1,"BTP070 - Cholurpalya Junction, Magadi Road",0.0,0,0.6251700680272109,0.2503401360544218,0.0,0.6251700680272109,0.0,23.77,No Parking 88% · Wrong Parking 7%,12,12:00–13:00 IST
"12.981,77.609",1074,12.981358564951357,77.60890098808918,BTP051 - Safina Plaza Junction,Shivajinagar,1,BTP051 - Safina Plaza Junction,1.5,0,0.621655328798186,0.24331065759637188,0.015151515151515152,0.621655328798186,0.0,23.76,Wrong Parking 56% · No Parking 36%,8,08:00–09:00 IST
"12.974,77.548",267,12.974310274550513,77.54772007841935,BTP069 - MC Circle,Vijayanagara,1,BTP069 - MC Circle,1.5,1,0.5301587301587302,0.06031746031746032,0.015151515151515152,0.5301587301587302,1.0,23.7,Wrong Parking 58% · No Parking 37%,11,11:00–12:00 IST
"12.973,77.538",205,12.972928615766623,77.53803665703254,BTP028 - Vijayanagar Bus Stand Junction,Vijayanagara,1,BTP028 - Vijayanagar Bus Stand Junction,4.5,1,0.5231292517006803,0.04625850340136054,0.045454545454545456,0.5231292517006803,1.0,23.68,Wrong Parking 65% · No Parking 30%,10,10:00–11:00 IST
"12.985,77.553",275,12.985247549818183,77.55318017090909,BTP061 - Bhashyam Circle,Rajajinagar,1,BTP061 - Bhashyam Circle,1.0,1,0.5310657596371882,0.06213151927437642,0.010101010101010102,0.5310657596371882,1.0,23.67,No Parking 62% · Wrong Parking 36%,7,07:00–08:00 IST
"12.984,77.578",250,12.983990017891797,77.57805998851521,BTP054 - Shivananda Circle,High ground,1,BTP054 - Shivananda Circle,2.0,1,0.5282312925170068,0.05646258503401361,0.020202020202020204,0.5282312925170068,1.0,23.61,No Parking 80% · Wrong Parking 16%,8,08:00–09:00 IST
"12.917,77.573",230,12.917165568695651,77.57332320913044,"BTP115 - Sahasra Hospital, Jayanagar",Banashankari,1,"BTP115 - Sahasra Hospital, Jayanagar",3.0,1,0.5259637188208617,0.051927437641723355,0.030303030303030304,0.5259637188208617,1.0,23.61,No Parking 79% · Wrong Parking 13%,11,11:00–12:00 IST
"12.974,77.566",47,12.97418256170213,77.56624799574467,BTP074 - Leprosy Hospital Junction,Magadi Road,1,BTP074 - Leprosy Hospital Junction,12.0,1,0.5052154195011338,0.010430839002267574,0.12121212121212122,0.5052154195011338,1.0,23.6,No Parking 61% · Wrong Parking 21%,2,02:00–03:00 IST
"12.962,77.595",5,12.96192332,77.59461564,"BTP101 - Blood Bank Circle, KH Road",Ashok Nagar,1,"BTP101 - Blood Bank Circle, KH Road",14.0,1,0.500453514739229,0.0009070294784580499,0.1414141414141414,0.500453514739229,1.0,23.59,Wrong Parking 100%,5,05:00–06:00 IST
"12.994,77.585",3,12.993791266666667,77.58483766666666,BTP032 - Windsor Circle,High ground,1,BTP032 - Windsor Circle,13.5,1,0.5002267573696145,0.00045351473922902497,0.13636363636363635,0.5002267573696145,1.0,23.43,Wrong Parking 50% · Defective Number Plate 25%,0,00:00–01:00 IST
"12.972,77.594",62,12.972207727419354,77.59394983064516,BTP063 - Siddalingaiah Circle,Cubbon Park,1,BTP063 - Siddalingaiah Circle,10.5,1,0.5069160997732426,0.013832199546485261,0.10606060606060606,0.5069160997732426,1.0,23.41,No Parking 72% · Wrong Parking 17%,2,02:00–03:00 IST
"12.929,77.6",1,12.9286923,77.6003933,"BTP127 - Sagar Hospital, Jayanagar",Jayanagara,1,"BTP127 - Sagar Hospital, Jayanagar",13.5,1,0.5,0.0,0.13636363636363635,0.5,1.0,23.41,Parking In A Main Road 50% · No Parking 50%,5,05:00–06:00 IST
"12.966,77.578",273,12.966038877655677,77.57773295714286,BTP082 - KR Market Junction,City Market,1,BTP082 - KR Market Junction,0.0,1,0.5308390022675737,0.06167800453514739,0.0,0.5308390022675737,1.0,23.39,Wrong Parking 88% · No Parking 10%,1,01:00–02:00 IST
"12.981,77.608",1074,12.98100116592179,77.60773138026072,BTP051 - Safina Plaza Junction,Shivajinagar,1,BTP051 - Safina Plaza Junction,0.0,0,0.621655328798186,0.24331065759637188,0.0,0.621655328798186,0.0,23.38,No Parking 54% · Wrong Parking 37%,11,11:00–12:00 IST
"12.976,77.562",179,12.975675792770861,77.56169200459706,BTP074 - Leprosy Hospital Junction,Magadi Road,1,BTP074 - Leprosy Hospital Junction,4.5,1,0.5201814058956916,0.04036281179138322,0.045454545454545456,0.5201814058956916,1.0,23.36,Wrong Parking 62% · No Parking 23%,10,10:00–11:00 IST
"12.987,77.58",154,12.98716357987013,77.5802583422078,BTP054 - Shivananda Circle,High ground,1,BTP054 - Shivananda Circle,5.5,1,0.5173469387755102,0.03469387755102041,0.05555555555555555,0.5173469387755102,1.0,23.3,No Parking 80% · Wrong Parking 14%,7,07:00–08:00 IST
"12.972,77.538",260,12.972176493521195,77.5377070388428,BTP028 - Vijayanagar Bus Stand Junction,Vijayanagara,1,BTP028 - Vijayanagar Bus Stand Junction,0.0,1,0.5293650793650794,0.05873015873015873,0.0,0.5293650793650794,1.0,23.23,Wrong Parking 58% · No Parking 38%,10,10:00–11:00 IST
"12.962,77.594",16,12.96196256875,77.59388210625,"BTP101 - Blood Bank Circle, KH Road",Halasuru Gate,1,"BTP101 - Blood Bank Circle, KH Road",12.0,1,0.5017006802721088,0.003401360544217687,0.12121212121212122,0.5017006802721088,1.0,23.22,Wrong Parking 53% · No Parking 32%,3,03:00–04:00 IST
"12.978,77.575",1035,12.977949901159421,77.57537562202899,BTP045 - Danvanthri Road Junction,Upparpet,1,BTP045 - Danvanthri Road Junction,1.0,0,0.617233560090703,0.2344671201814059,0.010101010101010102,0.617233560090703,0.0,23.15,Wrong Parking 57% · No Parking 38%,10,10:00–11:00 IST
